iter	Passed	Remaining
716	1139	449
717	1141	448
718	1142	446
719	1144	445
720	1145	443
721	1147	441
722	1148	440
723	1150	438
724	1151	436
725	1153	435
726	1154	433
727	1156	432
728	1159	430
729	1161	429
730	1162	427
731	1165	426
732	1167	425
733	1169	423
734	1170	422
735	1172	420
736	1173	418
737	1175	417
738	1177	415
739	1178	414
740	1180	412
741	1182	411
742	1183	409
743	1185	407
744	1187	406
745	1188	404
746	1190	403
747	1192	401
748	1193	399
749	1195	398
750	1196	396
751	1197	395
752	1199	393
753	1201	391
754	1201	390
755	1203	388
756	1204	386
757	1206	385
758	1207	383
759	1209	381
760	1210	380
761	1212	378
762	1213	377
763	1215	375
764	1217	373
765	1218	372
766	1220	370
767	1221	369
768	1223	367
769	1224	365
770	1226	364
771	1227	362
772	1229	361
773	1230	359
774	1232	357
775	1234	356
776	1235	354
777	1236	352
778	1238	351
779	1239	349
780	1241	348
781	1243	346
782	1244	344
783	1246	343
784	1247	341
785	1249	340
786	1250	338
787	1252	336
788	1253	335
789	1255	333
790	1256	332
791	1258	330
792	1259	328
793	1261	327
794	1262	325
795	1263	323
796	1265	322
797	1266	320
798	1268	319
799	1269	317
800	1270	315
801	1272	314
802	1273	312
803	1275	310
804	1276	309
805	1278	307
806	1279	306
807	1281	304
808	1282	302
809	1284	301
810	1285	299
811	1286	297
812	1288	296
813	1289	294
814	1291	293
815	1292	291
816	1294	289
817	1295	288
818	1297	286
819	1298	285
820	1300	283
821	1301	281
822	1303	280
823	1304	278
824	1306	277
825	1308	275
826	1309	273
827	1311	272
828	1312	270
829	1314	269
830	1315	267
831	1316	265
832	1318	264
833	1319	262
834	1321	261
835	1322	259
836	1324	257
837	1325	256
838	1327	254
839	1328	253
840	1330	251
841	1331	249
842	1333	248
843	1334	246
844	1335	245
845	1337	243
846	1338	241
847	1340	240
848	1341	238
849	1343	237
850	1344	235
851	1346	233
852	1347	232
853	1349	230
854	1350	229
855	1352	227
856	1353	225
857	1355	224
858	1356	222
859	1358	221
860	1360	219
861	1361	217
862	1363	216
863	1364	214
864	1366	213
865	1368	211
866	1369	210
867	1371	208
868	1373	207
869	1374	205
870	1376	203
871	1378	202
872	1379	200
873	1381	199
874	1382	197
875	1384	195
876	1386	194
877	1387	192
878	1389	191
879	1390	189
880	1392	188
881	1393	186
882	1395	184
883	1396	183
884	1398	181
885	1399	180
886	1401	178
887	1402	176
888	1404	175
889	1405	173
890	1407	172
891	1409	170
892	1410	169
893	1412	167
894	1413	165
895	1415	164
896	1416	162
897	1418	161
898	1419	159
899	1421	157
900	1422	156
901	1424	154
902	1425	153
903	1427	151
904	1429	150
905	1430	148
906	1431	146
907	1433	145
908	1434	143
909	1436	142
910	1437	140
911	1439	138
912	1440	137
913	1442	135
914	1443	134
915	1445	132
916	1446	130
917	1447	129
918	1449	127
919	1450	126
920	1452	124
921	1453	123
922	1455	121
923	1457	119
924	1458	118
925	1460	116
926	1461	115
927	1463	113
928	1464	111
929	1466	110
930	1467	108
931	1469	107
932	1471	105
933	1472	104
934	1474	102
935	1475	100
936	1477	99
937	1478	97
938	1480	96
939	1481	94
940	1483	93
941	1484	91
942	1486	89
943	1488	88
944	1489	86
945	1491	85
946	1492	83
947	1494	81
948	1495	80
949	1497	78
950	1498	77
951	1500	75
952	1501	74
953	1502	72
954	1504	70
955	1506	69
956	1507	67
957	1509	66
958	1510	64
959	1511	62
960	1513	61
961	1514	59
962	1516	58
963	1517	56
964	1518	55
965	1520	53
966	1521	51
967	1523	50
968	1524	48
969	1526	47
970	1528	45
971	1529	44
972	1530	42
973	1532	40
974	1533	39
975	1535	37
976	1537	36
977	1538	34
978	1540	33
979	1541	31
980	1543	29
981	1544	28
982	1546	26
983	1547	25
984	1549	23
985	1550	22
986	1553	20
987	1554	18
988	1556	17
989	1557	15
